,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.3,-24.78580893587842,10,10,10,219.50800013542175,-24.798074253787355,26,285.64800000190735
0,0.3,-24.68296656493898,10,10,12,230.94900012016296,-24.707227566185207,31,300.2909998893738
0,0.3,-24.511839660254296,10,10,10,144.1050000190735,-24.515189260109,34,354.5829999446869
0,0.3,-24.30505988832652,10,10,16,308.17700004577637,-24.3493658539847,40,389.9430000782013
0,0.3,-24.084715459004233,10,10,17,323.3199999332428,-24.115665540674946,27,288.1410000324249
0,0.3,-7.741712997023745,15,3,12,158.1600000858307,-7.742885301133542,16,165.41400003433228
0,0.3,-7.7662929777984155,15,3,23,298.03600001335144,-7.761149197292087,23,208.57200002670288
0,0.3,-7.677405747906147,15,3,13,168.1819999217987,-7.67320244704848,11,103.40100002288818
0,0.3,-7.565301934725078,15,3,11,137.01799988746643,-7.5645995518517495,14,117.08699989318848
0,0.3,-7.811988295890218,15,3,11,137.24700021743774,-7.812812482278327,15,143.23100018501282
0,0.3,-12.689250388067938,15,5,9,152.24799990653992,-12.694403350817126,9,130.89100003242493
0,0.3,-12.96224252538418,15,5,14,259.8329999446869,-12.961229312936378,14,170.54300022125244
0,0.3,-12.4044602907514,15,5,10,167.3399999141693,-12.406597253216548,12,174.7260000705719
0,0.3,-12.927062542928626,15,5,10,180.7869999408722,-12.92842963046654,12,194.46000003814697
0,0.3,-12.316010049899509,15,5,10,156.42000007629395,-12.316968663572823,12,166.518000125885
0,0.3,-24.169627388028356,15,10,10,304.89800000190735,-24.195383519819444,15,297.9869999885559
0,0.3,-24.55399827215388,15,10,9,283.1710000038147,-24.556909145216196,20,487.6119999885559
0,0.3,-24.500478879879772,15,10,9,318.2350001335144,-24.504957708568732,17,383.4949998855591
0,0.3,-24.80560125437278,15,10,13,424.7300000190735,-24.821208102388802,27,537.3760001659393
0,0.3,-24.296547297033783,15,10,9,292.5809998512268,-24.303881902238437,23,477.85400009155273
0,0.3,-7.763787653384016,20,3,12,321.3670001029968,-7.764406384278555,17,317.9870002269745
0,0.3,-7.754930134849175,20,3,12,306.6749999523163,-7.756668567181935,21,384.8400001525879
0,0.3,-7.846669703993891,20,3,15,399.529000043869,-7.833669550527468,13,234.23600006103516
0,0.3,-7.766795146730866,20,3,13,342.0079998970032,-7.767754709470482,17,382.6050000190735
0,0.3,-7.8421510151318365,20,3,13,332.1050000190735,-7.839410743715735,12,242.9520001411438
0,0.3,-12.67810578124276,20,5,12,388.7880001068115,-12.668388543963559,19,389.5020000934601
0,0.3,-12.896433101817408,20,5,12,424.08899998664856,-12.895828536649764,13,315.45099997520447
0,0.3,-12.34209456544664,20,5,14,471.5420000553131,-12.341006726526544,13,354.3710000514984
0,0.3,-12.727530410099718,20,5,12,411.7260000705719,-12.728273492560648,21,475.9430000782013
0,0.3,-12.455620124843144,20,5,10,295.9920001029968,-12.457174701239701,14,326.15199995040894
0,0.3,-24.479992047296374,20,10,12,654.6089999675751,-24.496993886799736,15,546.4590001106262
0,0.3,-24.255390500865165,20,10,12,640.3479998111725,-24.265591420432422,13,517.3359999656677
0,0.3,-24.171994790275306,20,10,11,589.9069998264313,-24.173917257467114,26,948.9449999332428
0,0.3,-24.71219470580057,20,10,11,582.8610000610352,-24.716363803971795,15,670.7190001010895
0,0.3,-23.98226648057056,20,10,11,615.8689999580383,-24.017770149916768,20,742.5859999656677
0,0.3,-7.831081235007967,25,3,13,566.3340001106262,-7.827963600678798,17,491.5369999408722
0,0.3,-7.985339028533624,25,3,12,519.4409999847412,-7.985507225723122,13,488.12599992752075
0,0.3,-7.7299747166602835,25,3,13,628.547000169754,-7.7318727360251955,19,676.0650000572205
0,0.3,-7.836162805642321,25,3,19,880.970999956131,-7.81397273357938,14,473.0440001487732
0,0.3,-7.671089193808857,25,3,12,488.6100001335144,-7.672827790901989,18,607.8320000171661
0,0.3,-12.339646098861884,25,5,12,758.7799999713898,-12.33218261026756,11,511.18099999427795
0,0.3,-12.83444607097757,25,5,12,652.8259999752045,-12.831603128816095,11,461.9140000343323
0,0.3,-12.500433636748454,25,5,15,832.4920001029968,-12.49538241549456,16,647.085000038147
0,0.3,-12.631136815436918,25,5,10,516.5060000419617,-12.631416867110158,15,593.2769999504089
0,0.3,-12.626840276784748,25,5,14,840.8310000896454,-12.62284549010959,21,779.4820001125336
0,0.3,-24.240775144923365,25,10,16,1548.5199999809265,-24.240192882691947,17,1107.9590001106262
0,0.3,-24.56475421468881,25,10,9,836.569000005722,-24.5665240781793,28,1622.3430001735687
0,0.3,-24.64538016779521,25,10,13,1105.292000055313,-24.649471655195946,21,1124.5970001220703
0,0.3,-24.52639667481131,25,10,12,916.5940001010895,-24.53486115588823,22,1183.6470000743866
0,0.3,-24.508744159122912,25,10,13,1072.5910000801086,-24.509479683385877,14,806.4470000267029
